id,topic,severity,confidence,effort,user_impact,title,location,recommendation
SUPPLY-001,SUPPLY,P0,Confirmed,XS,Friction,"Le tarball declare next ^16.2.6 alors que le dashboard est precompile : une install propre tire 16.3.0 et le dashboard ne demarre jamais","pack/package.json (champ dependencies.next) ; scripts/build-pack.mjs","Epingler toutes les deps runtime du pack a la version exacte + cabler scripts/verify-install.mjs en CI sur les DEUX services"
NETWORK-001,NETWORK,P0,Confirmed,S,Remote control,"En config par defaut (local-trust) le runner accepte /api/agent sans auth, sans controle d'Origin ni de Host : toute page web visitee peut creer et faire executer un job","apps/runner/src/server.ts:102-153 ; packages/auth/src/lib/private-origin.ts (jamais appele)","Brancher isPrivateOrigin en middleware sur le runner + valider l'en-tete Host"
INJECT-001,INJECT,P1,Confirmed,M,Remote control,"Aucun balisage du contenu non fiable sauf sur les webhooks : 17 frontieres de confiance sur 18 sont sans cadre","apps/runner/src/routes/webhook.ts:132 (seul cas) ; telegram/handler.ts:248 ; system-prompt.ts:622","Generaliser l'enveloppe du webhook a toutes les frontieres, d'un coup et non par surface"
SKILL-001,INJECT,P1,Confirmed,S,Remote control,"Les descriptions d'outils MCP ecrites par un tiers arrivent verbatim dans le contexte du modele a chaque tour","packages/adapters/mcp/src/tools.ts:148","Cadrer et plafonner la description a l'import + sortir create_mcp de l'auto-approbation en fully_autonomous"
MEMORY-001,MEMORY,P1,Confirmed,M,Remote control,"Le denylist anti-injection de la memoire laisse passer 14 payloads sur 16 testes : motifs uniquement en anglais, exfiltration exigeant une variable shell","packages/memory/src/sanitize.ts:16-36","Enveloppe autour du bloc Persistent memory ; garder le denylist sans lui preter plus qu'il ne fait"
SKILL-002,SKILL,P1,Confirmed,M,Remote control,"Les skills ecrites par la boucle de reflexion n'ont aucune sanitation de contenu et sont auto-assignees a l'agent qui les ecrit","apps/runner/src/reflection/run-reflection.ts:343-370 ; meta-ops/lint-skill-content.ts","Sanitation sur les deux chemins ; revue humaine obligatoire avant d'activer la reflexion par defaut"
SECRET-001,SECRET,P1,Confirmed,M,Credential loss,"Les transcripts de job stockent les resultats d'outils sans redaction ; les jobs echoues les conservent integralement","apps/runner/src/job/state.ts:448 ; job/transcript-text.ts:77-89","Rediger a l'affichage d'abord ; a l'ecriture seulement apres avoir prouve que resume.ts ne relit pas le transcript"
TOKEN-001,TOKEN,P1,Confirmed,M,Cost,"Le plafond en dollars reels ne se declenche que sur OpenRouter avec usage.include ; pour les 11 autres providers totalCostUsd reste a 0","apps/runner/src/job/execute.ts:2596-2613","Renommer et recadrer la promesse plutot que d'inventer une table de prix qui se perimera silencieusement"
PRIVILEGE-003,PRIVILEGE,P2,Likely,S,Remote control,"La carte d'approbation montre d'abord le motif ecrit par l'agent et tronque la commande reelle a 500 caracteres sans l'indiquer","apps/runner/src/approvals/notify.ts:357-370","Afficher la longueur reelle tronquee ; ne pas modifier l'ordre, choix de lisibilite assume"
SECRET-002,SECRET,P2,Confirmed,XS,Credential loss,"Les repertoires de ~/.nodalai (pg-data, logs, pids) gardent les droits herites ; seuls config.json et secrets.key sont verrouilles","apps/cli/src/lib/config.ts:119-125 (ensureConfigDir)","Appeler restrictFileToOwner sur les 4 repertoires, avec test de boot Postgres apres changement"
SUPPLY-002,SUPPLY,P2,Confirmed,S,Quality,"Aucune analyse de vulnerabilite des dependances en CI ; la branche snyk-fix dort depuis le 3 juin et le lockfile epingle la version vulnerable en dev",".github/workflows/ci.yml ; pnpm-lock.yaml:388","pnpm audit --audit-level=high non bloquant + fusionner la branche Snyk"
TOKEN-002,TOKEN,P2,Confirmed,M,Cost,"Prefixe systeme fixe mesure : 18645 tk pour les 20 skills, 14589 tk pour 59 schemas d'outils dont 6462 tk pour les 24 outils Office seuls","packages/catalog/src/skills/* ; packages/tools/src/builtin/office-ops/*","Passer les outils Office en capacite activable via la refonte ON/OFF deja au backlog"
CODE-001,CODE,P2,Confirmed,M,Quality,"CLAUDE.md affirme que les invariants 1 et 2 sont appliques par des regles ESLint sur mesure ; ces regles n'existent pas","eslint.config.js (37 lignes) ; apps/web/eslint.config.mjs ; CLAUDE.md","Corriger la documentation + une seule regle etroite la ou texte utilisateur est decidable"
PERF-001,PERF,P2,Confirmed,S,Quality,"Les 85 tests Playwright ne sont jamais executes par la CI",".github/workflows/ci.yml ; playwright.config.ts","Test de fumee post-build sur les DEUX services — meme correctif que SUPPLY-001"
